[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 新闻标题 | 关联装置 | 相关单位 | 新闻摘要 | 新闻链接 | 发布时间 | 相关人员 | 新闻类型 | 关联融资 | 新闻价值 | 提醒关注人 |
| recvlCNMeD4TEa | General Fusion通过与Spring Valley Acquisition III合并实现SPAC上市，估值约10亿美元 |  | [{"id":"recvk9ZmAnu1LQ"}] | 加拿大磁化靶聚变公司General Fusion与SPAC公司Spring Valley Acquisition III完成合并，在纳斯达克上市，代码GFUZ，企业价值约10亿美元。这是聚变行业首个SPAC上市案例。 | [https://www.ccnta.cn/article/23590.html](https://www.ccnta.cn/article/23590.html) | 2026-01-22 00:00:00 |  | ["融资"] |  | ["较高"] |  |

Meta: count=50; has_more=true; record_scope=all_records; field_scope=all_fields
=== BATCH_END_0 ===
[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 新闻标题 | 关联装置 | 相关单位 | 新闻摘要 | 新闻链接 | 发布时间 | 相关人员 | 新闻类型 | 关联融资 | 新闻价值 | 提醒关注人 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvlCQP7hFYHK | 瞬原科技完成数千万元首轮融资，以万倍加速构建可控核聚变模拟基座 |  | [{"id":"recvk9ZlAlPXGw"}] | 北京瞬原科技有限公司完成数千万元种子轮融资，龙芯创投领投，浙大校友基金藕舫天使、社保基金中关村自主创新专项基金（君联资本担任管理人）跟投。资金将用于扩充研发团队及开发核心等离子体物理算法底座。旗舰产品FusionAlpha部分核心模块计算效率较国际标杆代码提升上万倍。 | [https://mp.weixin.qq.com/s/kTPF2WXrCC6jq8aCgP9AeQ](https://mp.weixin.qq.com/s/kTPF2WXrCC6jq8aCgP9AeQ) | 2026-06-02 00:00:00 |  | ["融资"] | [{"id":"recvlCQLnGEDRv"}] | ["较高"] |  |
| recvlOL8wmqNUt | Helion完成4.65亿美元G轮融资，估值达155亿美元 |  | [{"id":"recvk9ZmAnsyR8"}] | 2026年6月5日，Helion Energy完成4.65亿美元G轮融资，由Thrive Capital领投，估值达155亿美元，为2026年迄今全球最大核聚变风险投资轮次。本轮后Helion在聚变公司融资排行榜升至第2位。 | [https://thefusionreport.com/](https://thefusionreport.com/) | 2026-06-05 00:00:00 |  | ["融资"] | [{"id":"recvlOL8wf9zj6"}] | ["Helion以直接发电路线和微软购电协议形成差异化商业路径。"] |  |
| recvlOL8wd5hH7 | Xcimer Energy Phoenix激光聚变原型设施投入运营 |  | [{"id":"recvk9ZmAnvgWK"}] | 2026年6月3日，Xcimer Energy宣布其Phoenix KrF准分子激光系统在科罗拉多州丹佛市正式投入运营。Phoenix是Xcimer商业激光惯性约束聚变架构的原型机，标志着公司从研发阶段迈向实际运营。 | [https://thefusionreport.com/](https://thefusionreport.com/) | 2026-06-03 00:00:00 |  | ["装置进展","技术进展"] |  | ["激光惯性聚变商业路线获得大额资金，需跟踪激光成本和重复频率。"] |  |
| recvlU5G8d47Ga | ITER组织开源发布IMAS集成建模与分析套件 |  |  | ITER组织于2025年12月8日在GitHub平台以开源许可证正式发布IMAS（集成建模与分析套件），包含托卡马克等离子体场景物理建模代码、数据分析与可视化工具。此举旨在加速全球聚变能源研发，降低行业技术门槛。 |  | 2025-12-08 00:00:00 |  | ["技术进展"] |  | ["影响全球ITER供应链、燃料循环与远期D-T实验时间判断。"] |  |
| recvm5PBI09oNC | CFS发表五篇ARC物理基础同行评审论文，验证400MW商用聚变电站可行性 |  |  | Commonwealth Fusion Systems在《等离子体物理学杂志》特刊发表五篇经同行评审的ARC物理基础论文，由58位科学家撰写。论文基于SPARC经验，分析显示ARC核电站可向电网持续输送400MW净电力，产生约11亿瓦聚变功率。这是商业聚变电站物理基础的里程碑式验证。 | [https://www.prnewswire.com/news-releases/commonwealth-fusion-systems-builds-on-learnings-from-sparc-to-publish-five-peer-reviewed-papers-validating-the-physics-of-the-arc-fusion-power-plant-302790590.html](https://www.prnewswire.com/news-releases/commonwealth-fusion-systems-builds-on-learnings-from-sparc-to-publish-five-peer-reviewed-papers-validating-the-physics-of-the-arc-fusion-power-plant-302790590.html) | 2026-06-04 00:00:00 |  | ["技术进展"] |  | ["很高"] |  |
| recvm5PBI0rNA0 | ITER磁体冷测试设施正式投运，可4K/68kA条件下测试超导磁体 |  |  | ITER组织宣布磁体冷测试设施正式投入运行，可在4开尔文（-269℃）低温、68千安培满电流条件下开展超导磁体安装前测试。该设施的投运是ITER总装阶段的关键里程碑，将为中央螺线管和环向场磁体的安装验证提供保障。 | [https://www.ans.org/news/topic-fusion/](https://www.ans.org/news/topic-fusion/) | 2026-06-01 00:00:00 |  | ["装置进展"] |  | ["较高"] |  |
| recvm5PBI0qzLr | Helion Polaris原型实现D-T聚变反应，等离子体温度达1.5亿度 |  |  | Helion Energy宣布其Polaris原型聚变装置近期实现了可测量的氘氚(D-T)聚变反应，等离子体温度达到1.5亿度。这是Helion直接发电路线的重要技术里程碑，为其华盛顿州Orion聚变电站建设提供了关键数据支撑。 | [https://www.ans.org/news/topic-fusion/](https://www.ans.org/news/topic-fusion/) | 2026-06-01 00:00:00 |  | ["实验纪录"] |  | ["很高"] |  |
| recvmbJVtnpMlK | 测试记录 |  |  |  |  | 2026-06-11 00:00:00 |  |  |  | ["一般"] |  |
| recvmbK9SpdimK | 东昇聚变完成1亿美元新一轮融资，启明创投/华金资本/工银资本/CMC资本联合领投 |  | [{"id":"recvkiWh3zvbNB"}] | 《科创板日报》6月10日报道，东昇聚变（上海）技术有限公司完成1亿美元新一轮融资。启明创投、珠海科技产业集团（华金资本）、工银资本、CMC资本联合领投，达晨创投、前海方舟、东方证券、华福成长投资、兰溪资本跟投，中科创星、千乘资本、BV百度风投等老股东持续加注。资金将用于第一代晨光聚变实验装置建设、核心技术迭代及工程化团队扩充，推进紧凑型聚变电站技术验证与商业化。 | [https://finance.sina.com.cn/roll/2026-06-10/doc-iniaxvfp1183467.shtml](https://finance.sina.com.cn/roll/2026-06-10/doc-iniaxvfp1183467.shtml) | 2026-06-10 00:00:00 |  | ["融资"] |  | ["很高"] |  |
| recvmbKabgUCmv | 核聚变诊断隐形赛道崛起：单装置需求可达数亿元，百亿蓝海市场加速释放 |  |  | 财联社6月8日报道，可控核聚变产业化进程提速，其核心技术赛道关注度持续攀升。国内聚变诊断产业集群加速成型。单座聚变装置总投资超30亿元，诊断系统占比约10%，单装置对应数亿元核心硬件需求，百亿级市场蓝海正加速释放红利。聚变诊断作为装置眼睛，是装置运行安全、物理理解和工程控制的基础保障。 | [https://finance.sina.com.cn/jjxw/2026-06-08/doc-iniasscs7178056.shtml](https://finance.sina.com.cn/jjxw/2026-06-08/doc-iniasscs7178056.shtml) | 2026-06-08 00:00:00 |  | ["市场政策"] |  | ["较高"] |  |
| recvmhu3GHyzF9 | 2026上海碳中和博览会展示聚变前沿技术成果 |  |  | 2026上海国际碳中和技术博览会上，诺瓦聚变能源科技展示了"诺瓦一号"小型模块化FRC聚变验证装置，目标离子温度一亿度，规划2030年完成发电演示；上海电气披露了国内最全面的核聚变核心装备供货能力，已具备托卡马克主机系统核心部件成套制造能力，同时布局第四代核电技术。 | [https://finance.sina.com.cn/roll/2026-06-11/doc-inicaenm0610945.shtml](https://finance.sina.com.cn/roll/2026-06-11/doc-inicaenm0610945.shtml) | 2026-06-10 00:00:00 |  | ["产业/展会"] |  | ["中国聚变供应链和民营装置持续落地，上海电气供货能力反映国产化替代加速，诺瓦聚变是FRC路线新玩家。"] |  |
| recvmhu3GZ8vAe | 田纳西州成为美国首个实施核聚变监管框架的州 |  |  | 2026年6月9日，田纳西州正式生效核聚变装置监管规则，成为美国首个落地自主聚变监管框架的州。规则要求聚变设施需注册许可、配备辐射安全官、设立辐射安全委员会。Type One Energy正在该州橡树岭附近推进Infinity Two 400MWe仿星器试点电厂项目，将成为新框架下首批持牌方。该州的技术中立监管模式为全美提供了先行实践经验。 | [https://www.tn.gov/environment/news/2026/6/1/tn-powers-up-first-in-the-nation-fusion-regulations-june-9.html](https://www.tn.gov/environment/news/2026/6/1/tn-powers-up-first-in-the-nation-fusion-regulations-june-9.html) | 2026-06-09 00:00:00 |  | ["监管"] |  | ["聚变监管框架的明确化直接影响商业项目的许可、融资和选址。田纳西模式为其他州和联邦统一标准提供了先行样本。"] |  |
| recvmnj66mbrGy | 宁德时代首次投资核聚变，领投贝塔聚变数亿元种子轮 |  | [{"id":"recvkiWh3za8qn"}] | 全球最大动力电池制造商宁德时代领投贝塔聚变（Beta Fusion）数亿元种子轮融资，系宁德时代首次入局核聚变领域。贝塔聚变成立于2025年，专注脉冲型场反位形（FRC）磁惯性约束路线。 | [https://finance.sina.com.cn/tech/digi/2026-06-11/doc-iniaztwn2227207.shtml](https://finance.sina.com.cn/tech/digi/2026-06-11/doc-iniaztwn2227207.shtml) | 2026-06-11 00:00:00 |  | ["融资","公司治理/战略"] | [{"id":"recvmniCJoqUD4"}] | ["很高"] |  |
| recvmnj66m1r6o | 星能玄光完成5亿元A系列融资，加速FRC装置研发 |  | [{"id":"recvk9ZmAn0Vga"}] | 可控核聚变FRC路线企业星能玄光完成A系列两轮合计5亿元融资。新增投资方：金浦投资、达晨财智、基石资本、弘晖基金、世林集团、上海科创集团；老股东蚂蚁集团、中科创星等持续追投。资金将用于提升高性能FRC装置参数。 | [https://finance.sina.com.cn/jjxw/2026-06-12/doc-iniccspq1831941.shtml](https://finance.sina.com.cn/jjxw/2026-06-12/doc-iniccspq1831941.shtml) | 2026-06-12 00:00:00 |  | ["融资"] | [{"id":"recvmniCJoS6gG"}] | ["很高"] |  |
| recvmnj66mfJFZ | 美国能源部发布《聚变科学与技术路线图》，目标2030年代中期商用聚变 |  |  | 2026年6月9日，美国能源部（DOE）正式发布《聚变科学与技术路线图》，收集800余位科学家和工程师意见，明确将2030年代中期实现商用聚变作为目标。 | [https://www.nature.com/articles/d41586-026-01795-z](https://www.nature.com/articles/d41586-026-01795-z) | 2026-06-09 00:00:00 |  | ["政策/路线图"] |  | ["较高"] |  |
| recvmnj66mFPpG | 美国能源部批准Xcimer Energy Athena预概念动力堆设计 |  |  | 2026年6月10日，美国能源部正式批准Xcimer Energy提交的共724页Athena预概念动力堆设计方案，标志激光惯性聚变路线进入工程评审阶段。 | [https://thefusionreport.com/](https://thefusionreport.com/) | 2026-06-10 00:00:00 |  | ["装置设计/项目评审"] |  | ["较高"] |  |
| recvmtclWvq0PB | 苏黎世联邦理工学院研究称聚变发电经验率或被高估，引发业界争议 |  |  | 2026年3月23日，苏黎世联邦理工学院博士生汤灵熹等在《自然·能源》发表论文《Fusion Power Experience Rates Are Overestimated》，指出主流聚变路线经验率仅2%-8%，远低于业界假设的8%-20%，首台聚变电站资本支出估算范围悬殊（1400-43000美元/千瓦）。论文认为除非出现新设计否则不应将聚变作为清洁能源体系核心支柱，引发CFS、MIT、北大等机构学者广泛讨论。 | [https://finance.sina.com.cn/wm/2026-06-12/doc-inicazrx3568722.shtml](https://finance.sina.com.cn/wm/2026-06-12/doc-inicazrx3568722.shtml) | 2026-06-12 00:00:00 |  | ["产业报告"] |  | ["较高"] |  |
| recvmtclWvYDqu | 湖北省发改委启动磁约束氘氘聚变中子源预研装置项目初步设计咨询评估招标 |  |  | 2026年6月11日，湖北省发展和改革委员会发布磁约束氘氘聚变中子源预研装置项目初步设计概算咨询评估项目招标公告（项目编号HBCZ-2601050939-262199），预算18.10万元，截止时间6月24日14:30。项目属于国家重大科技基础设施建设前期准备工作。 | [https://hubeibidding.com/view/49003.html](https://hubeibidding.com/view/49003.html) | 2026-06-11 00:00:00 |  | ["政府项目","装置建设"] |  | ["一般"] |  |
| recvmz7tdNeHtG | 测试 |  |  |  |  |  |  |  |  |  |  |

Meta: count=19; has_more=false; record_scope=all_records; field_scope=all_fields
=== BATCH_END_50 ===
